Fecha,Hora,Temperatura (C),Humedad (%),Tension (V),Corriente (A),Potencia (W),Timestamp
2025-11-23,17:46:00,20.9,74.4,0,0.243,0,1763937960281
2025-11-23,17:46:30,20.9,74.4,0,0.26,0,1763937990635
2025-11-23,17:47:01,20.9,74.4,0,0.257,0,1763938021581
2025-11-23,17:47:32,20.9,74.3,0,0.281,0,1763938052027
2025-11-23,17:48:07,20.9,74.3,0,0.295,0,1763938087230
2025-11-23,17:48:34,20.9,74.4,0,0.3,0,1763938114375
2025-11-23,17:49:03,20.9,74.3,0,0.305,0,1763938143169
2025-11-23,17:49:32,20.9,74.3,0,0.314,0,1763938172746
2025-11-23,17:50:02,20.9,74.3,0,0.324,0,1763938202963
2025-11-23,17:50:32,20.9,74.3,0,0.312,0,1763938232715
2025-11-23,17:51:03,20.9,74.2,0,0.305,0,1763938263079
2025-11-23,17:51:33,20.9,74.2,0,0.281,0,1763938293131
2025-11-23,17:52:02,20.9,74.2,0,0.266,0,1763938322616
2025-11-23,17:52:40,20.9,74.1,0,0.255,0,1763938360089
2025-11-23,17:53:05,20.9,74.1,0,0.251,0,1763938385597
2025-11-23,17:53:39,20.9,74,0,0.249,0,1763938419230
2025-11-23,17:54:08,20.9,73.9,0,0.251,0,1763938448520
2025-11-23,17:54:36,20.9,74,0,0.253,0,1763938476743
2025-11-23,17:55:06,20.9,73.9,0,0.254,0,1763938506097
2025-11-23,17:55:41,20.9,73.9,0,0.271,0,1763938541502
2025-11-23,17:56:07,20.9,73.9,0,0.284,0,1763938567932
2025-11-23,17:56:37,20.9,73.9,0,0.293,0,1763938597685
2025-11-23,17:57:07,20.9,73.8,0,0.298,0,1763938627663
2025-11-23,17:57:37,20.9,73.9,0,0.3,0,1763938657263
2025-11-23,17:58:07,20.9,73.8,0,0.308,0,1763938687622
2025-11-23,17:58:36,20.9,73.8,0,0.29,0,1763938716897
2025-11-23,17:59:06,20.9,73.8,0,0.297,0,1763938746990
2025-11-23,17:59:37,20.9,73.7,0,0.292,0,1763938777594
2025-11-23,18:00:07,20.9,73.7,0,0.263,0,1763938807335
2025-11-23,18:00:40,20.9,73.8,0,0.268,0,1763938840639
2025-11-23,18:01:07,20.9,73.7,0,0.268,0,1763938867337
2025-11-23,18:01:37,20.9,73.7,0,0.249,0,1763938897211
2025-11-23,18:02:07,20.9,73.7,0,0.242,0,1763938927866
2025-11-23,18:03:12,20.9,73.6,0,0.236,0,1763938992293
2025-11-23,18:03:49,20.9,73.6,0,0.234,0,1763939029784
2025-11-23,18:04:11,20.8,73.6,0,0.252,0,1763939051972
2025-11-23,18:04:42,20.8,73.6,0,0.249,0,1763939082757
2025-11-23,18:05:11,20.9,73.5,0,0.252,0,1763939111903
2025-11-23,18:05:44,20.9,73.5,0,0.261,0,1763939144719
2025-11-23,18:06:15,20.8,73.5,0,0.271,0,1763939175486
2025-11-23,18:06:42,20.8,73.5,0,0.279,0,1763939202772
2025-11-23,18:07:14,20.9,73.5,0,0.278,0,1763939234112
2025-11-23,18:07:42,20.8,73.5,0,0.278,0,1763939262063
2025-11-23,18:08:14,20.9,73.4,0,0.278,0,1763939294627
2025-11-23,18:08:41,20.9,73.4,0,0.284,0,1763939321939
2025-11-23,18:09:12,20.8,73.3,0,0.264,0,1763939352059
2025-11-23,18:09:45,20.8,73.3,0,0.251,0,1763939385330
2025-11-23,18:10:13,20.8,73.3,0,0.241,0,1763939413489
2025-11-23,18:10:42,20.8,73.2,0,0.236,0,1763939442161
